aar,knr,aarknr,kommunenavn,bm_andel_forrige_valg,bm_andel_dette_valg,d_borgmesterparti,d_udvalgsformandsparti,d_valgdeltagelse,skolelukning,antal_skolelukning,borgmesterparti,udvalgsformandsparti,delt_inst_ansvar,delt_pol_ansvar,koalition,afstand_valg,aftale_borgmester,aftale_udvalgsformand,besluttet_aar,skoleluk_aar_i_valgperiode,ny_borgmester,sammenlagt_kommune,valgvind_bm,est_ft_bm,valgvind_uf,est_ft_uf,friskole_antal,friskole,d_nettodriftsudgifter,dt0_nettodriftsudgifter,koalition_kat
2017,330,2017330,Slagelse,0.292248571,0.290959666,-0.001288904,-0.001288904,-0.014904437,1,1,V,V,0,1,0.903225806,1303,1,1,2014,1,1,1,-0.047109224,0.19974359,-0.047109224,0.19974359,0,0,-1361,2372,4
2017,336,2017336,Stevns,NA,NA,NA,NA,-0.024568415,0,0,,,0,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,-1324,-522,0
2017,340,2017340,Sorø,0.199783041,0.246642766,0.046859725,-0.093693347,-0.024519492,0,0,C,V,1,NA,NA,NA,NA,NA,NA,0,1,1,7.37349e-4,0.0484,-0.064335997,0.189114219,NA,NA,-2446,-1031,0
2017,350,2017350,Lejre,NA,NA,NA,NA,-0.023232069,0,0,,,0,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,-1119,-671,0
2017,360,2017360,Lolland,0.265710541,0.396290123,0.130579582,-0.112448193,-0.048182451,1,3,A,V,1,1,0.709677419,1017.666667,1,1,2014,1,1,1,0.097695324,0.390517241,-0.034052614,0.163869464,0,0,-399,1499,2
2017,370,2017370,Næstved,0.405034718,0.394050264,-0.010984455,-0.010984455,-0.028506675,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,0,1,0.074017005,0.344482759,0.074017005,0.344482759,NA,NA,-2750,-1246,0
2017,376,2017376,Guldborgsund,0.181,0.331,0.15,-0.056217072,-0.022000508,0,0,L,V,1,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,-0.052378621,0.169184149,NA,NA,-1211,485,0
2017,390,2017390,Vordingborg,0.319244139,0.266958183,-0.052285955,-0.052285955,-0.019496835,0,0,V,V,0,NA,NA,NA,NA,NA,NA,0,1,1,-0.052515818,0.181142191,-0.052515818,0.181142191,NA,NA,-826,-785,0
2017,400,2017400,Bornholm,0.420532319,0.342484953,-0.078047366,-0.078047366,-0.014811296,1,4,A,A,0,1,0.551994302,908,1,1,2015,2,0,0,0.044839868,0.34862069,0.044839868,0.34862069,1,1,-1280,-1501,1
2017,410,2017410,Middelfart,0.421322329,0.485457033,0.064134704,0.064134704,-0.002038171,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,0,1,0.066495985,0.312413793,0.066495985,0.312413793,NA,NA,-1294,-762,0
2017,420,2017420,Assens,0.341183879,0.420198935,0.079015056,0.079015056,-0.002612453,1,2,V,V,0,0,0.517241379,272,0,0,2017,4,1,1,-0.051690643,0.205058275,-0.051690643,0.205058275,0,0,317,1161,1
2017,430,2017430,Faaborg-Midtfyn,0.342729426,0.237157736,-0.10557169,0.007488739,-0.016693698,1,1,V,F,1,1,0.96,1008,1,1,2015,2,1,1,-0.062258408,0.219230769,-0.00907864,0.043697479,0,0,704,1234,4
